"","common_name","sci_name"
"1","Acadian flycatcher","Empidonax virescens"
"2","American golden plover","Pluvialis dominica"
"3","Apostlebird","Struthidea cinerea"
"4","Banded wren","Thryothorus pleurostictus"
"5","Barn owl","Tyto alba"
"6","Black coucal","Centropus grillii"
"7","Black grouse","Tetrao tetrix"
"8","Black guillemot","Cepphus grylle"
"9","Black-browed reed-warbler","Acrocephalus bistrigiceps"
"10","Black-capped chickadee","Parus atricapillus"
"11","Black-crowned antshrike","Thamnophilus atrinucha"
"12","Black-legged kittiwake","Rissa tridactyla"
"13","Blue tit","Parus caeruleus"
"14","Blue-black grassquits","Volatinia jacarina"
"15","Boreal owl","Aegolius funereus"
"16","Buff-breasted wrens","Thryothorus leucotis"
"17","Cactus finch","Geospiza scandens"
"18","Campo Flicker","Colaptes campestris"
"19","Cape pendulin tit","Anthoscopus minutus"
"20","Cherrie's tanager","Ramphocelus costaricensis"
"21","Chestnut-sided warbler","Dendroica pensylvanica"
"22","Chilean swallow","Tachycineta meyeni"
"23","Comb-crested jacana","Irediparra gallinacea"
"24","Common crossbill","Loxia curvirostra"
"25","Common redstart","Phoenicurus phoenicurus"
"26","Cooper's hawk","Accipiter cooperii"
"27","Crimsom rosella","Platycercus elegans"
"28","Crimson-breasted shrike","Laniarius atrococcineus"
"29","Dickcissel","Spiza americana"
"30","Eastern bluebird","Sialia sialis"
"31","Eastern imperial eagle","Aquila heliaca"
"32","El oro parakeet","Pyrrhura orcesi"
"33","Elegant scops-owl","Otus elegans"
"34","Eurasian linnet","Carduelis cannabina"
"35","Eurasian reed-warbler","Acrocephalus scirpaceus"
"36","Eurasian three-toed woodpecker","Picoides tridactylus"
"37","European nuthatch","Sitta europaea"
"38","Field sparrow","Spizella pusilla"
"39","Golden whistlers","Pachycephala pectoralis"
"40","Golden-winged warblers","Vermivora chrysoptera"
"41","Great cormorant","Phalacrocorax carbo"
"42","Great reed warbler","Acrocephalus arundinaceus"
"43","Great tit","Parus major"
"44","Greater sage-grouse","Centrocercus urophasianus"
"45","Grey fantail","Rhipidura fuliginosa"
"46","Ground tit","Pseudopodoces humilis"
"47","House finch","Carpodacus mexicanus"
"48","House sparrow","Passer domesticus"
"49","House wren","Troglodytes aedon"
"50","Imperial shag","Phalacrocorax atriceps"
"51","Isabelline shrike","Lanius isabellinus"
"52","Jabiru","Jabiru mycteria"
"53","Kalij pheasant","Lophura leucomelanos"
"54","Karoo scrub-robin","Erythropygia coryphaeus"
"55","Kentish plover","Charadrius alexandrinus"
"56","Kittlitz's plover","Charadrius pecuarius"
"57","Lesser kestrel","Falco naumanni"
"58","Long-tailed tit","Aegithalos caudatus"
"59","Lovely fairy-wren","Malurus amabilis"
"60","Madagascar plover","Charadrius thoracicus"
"61","Mallard","Anas platyrhynchos"
"62","Mexican jay","Aphelocoma ultramarina"
"63","Monk parakeet","Myiopsitta monachus"
"64","Montagu's harrier","Circus pygargus"
"65","New Zealand hihi","Notiomystis cincta"
"66","New Zealand robin","Petroica australis"
"67","North American black tern","Chlidonias niger"
"68","Northern bobwhite","Colinus virginianus"
"69","Northern flicker","Colaptes auratus"
"70","Ostrich","Struthio camelus"
"71","Pied babbler","Turdoides bicolor"
"72","Pied flycatcher","Ficedula hypoleuca"
"73","Prairie chicken","Tympanuchus cupido"
"74","Red phalarope","Phalaropus fulicarius"
"75","Red-billed quelea","Quelea quelea"
"76","Red-breasted flycatcher","Ficedula parva"
"77","Red-capped plover","Charadrius ruficapillus"
"78","Red-footed falcon","Falco vespertinus"
"79","Reed bunting","Emberiza schoeniclus"
"80","Ridgway's hawk","Buteo ridgwayi"
"81","Rufous-and-white wren","Thryothorus rufalbus"
"82","Rufous-chested dotterel","Charadrius modestus"
"83","Saddleback","Philesturnus carunculatus"
"84","Saffron finch","Sicalis flaveola"
"85","Sanderling","Calidris alba"
"86","Savi's warbler","Locustella luscinioides"
"87","Scaled quail","Callipepla squamata"
"88","Scarlet rosefinch","Carpodacus erythrinus"
"89","Scarlet tanager","Piranga olivacea"
"90","Scissor-tailed flycatchers","Tyrannus forficatus"
"91","Seaside sparrow","Ammodramus maritimus"
"92","Sedge warbler","Acrocephalus schoenobaenus"
"93","Siberian jay","Perisoreus infaustus"
"94","Snowy plover","Charadrius nivosus"
"95","Sociable weaver","Philetairus socius"
"96","Song sparrow","Melospiza melodia"
"97","Southern emu-wren","Stipiturus malachurus"
"98","Spotted towhee","Pipilo maculatus"
"99","Stellers jay","Cyanocitta stelleri"
"100","Subdesert mesite","Monias benschi"
"101","Superb fairy-wren","Malurus cyaneus"
"102","Swainsons hawk","Buteo swainsoni"
"103","Tawny owl","Strix aluco"
"104","Tree swallow","Tachycineta bicolor"
"105","Two-banded plover","Charadrius falklandicus"
"106","Varied tit","Parus varius"
"107","Vinous-throated parrotbills","Paradoxornis webbianus"
"108","Whiskered tern","Chlidonias hybrida"
"109","White-crowned penduline tit","Remiz coronatus"
"110","White-eyed vireo","Vireo griseus"
"111","White-fronted plover","Charadrius marginatus"
"112","White-tailed ptarmigan","Lagopus leucura"
"113","White-throated dipper","Cinclus cinclus"
"114","Wood stork","Mycteria americana"
"115","Wood thrush","Hylocichla mustelina"
"116","Wood warbler","Phylloscopus sibilatrix"
"117","Yellow rumped flycatcher","Ficedula zanthopygia"
"118","Yellow-breasted chat","Icteria virens"
"119","Yellow-shouldered blackbird","Agelaius xanthomus"
"120","Zebra finch","Taeniopygia guttata"
